ID,Payload,Message,Response
"54","b'7'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:20.246|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=7|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=60|49=BANZAI|52=20241208-12:19:20.256|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=7|59=1|60=20241208-12:19:10|10=242|'"
"55","b'8'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:20.411|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=8|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=61|49=BANZAI|52=20241208-12:19:20.418|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=8|59=1|60=20241208-12:19:10|10=244|'"
"56","b'9'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:20.572|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=9|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=62|49=BANZAI|52=20241208-12:19:20.582|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=9|59=1|60=20241208-12:19:10|10=248|'"
"57","b':'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:20.738|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=:|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=63|49=BANZAI|52=20241208-12:19:20.749|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=:|59=1|60=20241208-12:19:10|10=255|'"
"58","b';'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:20.905|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=;|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=64|49=BANZAI|52=20241208-12:19:20.914|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=;|59=1|60=20241208-12:19:10|10=251|'"
"59","b'<'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:21.069|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=<|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=65|49=BANZAI|52=20241208-12:19:21.076|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=<|59=1|60=20241208-12:19:10|10=253|'"
"60","b'>'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:21.232|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=>|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=66|49=BANZAI|52=20241208-12:19:21.239|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=>|59=1|60=20241208-12:19:10|10=001|'"
"61","b'?'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:21.395|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=?|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=67|49=BANZAI|52=20241208-12:19:21.403|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=?|59=1|60=20241208-12:19:10|10=252|'"
"62","b'@'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:21.558|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=@|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=68|49=BANZAI|52=20241208-12:19:21.566|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=@|59=1|60=20241208-12:19:10|10=008|'"
"63","b'A'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:21.721|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=A|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=69|49=BANZAI|52=20241208-12:19:21.729|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=A|59=1|60=20241208-12:19:10|10=011|'"
"64","b'B'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:21.885|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=B|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=70|49=BANZAI|52=20241208-12:19:21.892|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=B|59=1|60=20241208-12:19:10|10=005|'"
"65","b'C'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:22.047|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=C|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=71|49=BANZAI|52=20241208-12:19:22.057|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=C|59=1|60=20241208-12:19:10|10=001|'"
"66","b'D'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:22.213|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=D|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=72|49=BANZAI|52=20241208-12:19:22.224|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=D|59=1|60=20241208-12:19:10|10=255|'"
"67","b'E'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:22.381|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=E|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=73|49=BANZAI|52=20241208-12:19:22.389|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=E|59=1|60=20241208-12:19:10|10=013|'"
"68","b'F'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:22.543|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=F|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=74|49=BANZAI|52=20241208-12:19:22.555|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=F|59=1|60=20241208-12:19:10|10=010|'"
"69","b'G'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:22.711|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=G|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=75|49=BANZAI|52=20241208-12:19:22.721|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=G|59=1|60=20241208-12:19:10|10=007|'"
"70","b'H'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:22.878|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=H|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=76|49=BANZAI|52=20241208-12:19:22.885|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=H|59=1|60=20241208-12:19:10|10=020|'"
"71","b'I'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:23.040|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=I|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=77|49=BANZAI|52=20241208-12:19:23.049|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=I|59=1|60=20241208-12:19:10|10=015|'"
"72","b'J'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:23.206|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=J|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=78|49=BANZAI|52=20241208-12:19:23.216|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=J|59=1|60=20241208-12:19:10|10=013|'"
"73","b'K'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:23.371|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=K|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=79|49=BANZAI|52=20241208-12:19:23.382|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=K|59=1|60=20241208-12:19:10|10=019|'"
"74","b'L'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:23.538|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=L|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=80|49=BANZAI|52=20241208-12:19:23.549|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=L|59=1|60=20241208-12:19:10|10=017|'"
"75","b'M'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:23.705|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=M|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=81|49=BANZAI|52=20241208-12:19:23.714|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=M|59=1|60=20241208-12:19:10|10=013|'"
"76","b'N'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:23.871|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=N|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=82|49=BANZAI|52=20241208-12:19:23.878|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=N|59=1|60=20241208-12:19:10|10=026|'"
"77","b'O'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:24.033|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=O|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=83|49=BANZAI|52=20241208-12:19:24.043|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=O|59=1|60=20241208-12:19:10|10=013|'"
"78","b'P'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:24.198|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=P|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=84|49=BANZAI|52=20241208-12:19:24.206|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=P|59=1|60=20241208-12:19:10|10=016|'"
"79","b'Q'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:24.361|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=Q|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=85|49=BANZAI|52=20241208-12:19:24.368|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=Q|59=1|60=20241208-12:19:10|10=027|'"
"80","b'R'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:24.522|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=R|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=86|49=BANZAI|52=20241208-12:19:24.532|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=R|59=1|60=20241208-12:19:10|10=022|'"
"81","b'S'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:24.689|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=S|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=87|49=BANZAI|52=20241208-12:19:24.697|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=S|59=1|60=20241208-12:19:10|10=036|'"
"82","b'T'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:24.851|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=T|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=88|49=BANZAI|52=20241208-12:19:24.859|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=T|59=1|60=20241208-12:19:10|10=038|'"
"83","b'U'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:25.014|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=U|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=89|49=BANZAI|52=20241208-12:19:25.021|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=U|59=1|60=20241208-12:19:10|10=022|'"
"84","b'V'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:25.176|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=V|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=90|49=BANZAI|52=20241208-12:19:25.186|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=V|59=1|60=20241208-12:19:10|10=027|'"
"85","b'W'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:25.343|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=W|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=91|49=BANZAI|52=20241208-12:19:25.352|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=W|59=1|60=20241208-12:19:10|10=024|'"
"86","b'X'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:25.507|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=X|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=92|49=BANZAI|52=20241208-12:19:25.517|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=X|59=1|60=20241208-12:19:10|10=029|'"
"87","b'Y'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:25.673|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=Y|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=93|49=BANZAI|52=20241208-12:19:25.685|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=Y|59=1|60=20241208-12:19:10|10=037|'"
"88","b'Z'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:25.842|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=Z|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=94|49=BANZAI|52=20241208-12:19:25.852|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=Z|59=1|60=20241208-12:19:10|10=035|'"
"89","b'['","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:26.008|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=[|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=95|49=BANZAI|52=20241208-12:19:26.018|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=[|59=1|60=20241208-12:19:10|10=032|'"
"90","b'\\\\'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:26.174|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\\\|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=96|49=BANZAI|52=20241208-12:19:26.181|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\|59=1|60=20241208-12:19:10|10=035|'"
"91","b']'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:26.336|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=]|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=97|49=BANZAI|52=20241208-12:19:26.344|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=]|59=1|60=20241208-12:19:10|10=038|'"
"92","b'^'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:26.498|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=^|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=98|49=BANZAI|52=20241208-12:19:26.508|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=^|59=1|60=20241208-12:19:10|10=042|'"
"93","b'_'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:26.663|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=_|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=99|49=BANZAI|52=20241208-12:19:26.671|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=_|59=1|60=20241208-12:19:10|10=045|'"
"94","b'`'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:26.826|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=`|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=150|35=D|34=100|49=BANZAI|52=20241208-12:19:26.834|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=`|59=1|60=20241208-12:19:10|10=070|'"
"95","b'a'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:26.988|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=a|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=150|35=D|34=101|49=BANZAI|52=20241208-12:19:26.995|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=a|59=1|60=20241208-12:19:10|10=080|'"
"96","b'b'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:27.150|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=b|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=150|35=D|34=102|49=BANZAI|52=20241208-12:19:27.158|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=b|59=1|60=20241208-12:19:10|10=074|'"
"97","b'c'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:27.312|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=c|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=150|35=D|34=103|49=BANZAI|52=20241208-12:19:27.320|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=c|59=1|60=20241208-12:19:10|10=067|'"
