ID,Payload,Message,Response
"20","b'\\x15'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:14.651|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x15|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=26|49=BANZAI|52=20241208-12:19:14.661|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x15|59=1|60=20241208-12:19:10|10=213|'"
"21","b'\\x16'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:14.816|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x16|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=27|49=BANZAI|52=20241208-12:19:14.826|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x16|59=1|60=20241208-12:19:10|10=218|'"
"22","b'\\x17'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:14.982|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x17|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=28|49=BANZAI|52=20241208-12:19:14.990|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x17|59=1|60=20241208-12:19:10|10=222|'"
"23","b'\\x18'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:15.144|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x18|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=29|49=BANZAI|52=20241208-12:19:15.154|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x18|59=1|60=20241208-12:19:10|10=217|'"
"24","b'\\x19'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:15.310|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x19|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=30|49=BANZAI|52=20241208-12:19:15.320|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x19|59=1|60=20241208-12:19:10|10=205|'"
"25","b'\\x1a'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:15.476|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x1a|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=31|49=BANZAI|52=20241208-12:19:15.483|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x1a|59=1|60=20241208-12:19:10|10=217|'"
"26","b'\\x1b'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:15.637|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x1b|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=32|49=BANZAI|52=20241208-12:19:15.644|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x1b|59=1|60=20241208-12:19:10|10=218|'"
"27","b'\\x1c'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:15.799|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x1c|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=33|49=BANZAI|52=20241208-12:19:15.808|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x1c|59=1|60=20241208-12:19:10|10=222|'"
"28","b'\\x1d'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:15.964|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x1d|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=34|49=BANZAI|52=20241208-12:19:15.972|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x1d|59=1|60=20241208-12:19:10|10=226|'"
"29","b'\\x1e'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:16.127|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x1e|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=35|49=BANZAI|52=20241208-12:19:16.134|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x1e|59=1|60=20241208-12:19:10|10=219|'"
